"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"ICVPMin","ICVPMin","","","",0,*,"","","","null {[]} {[]}
","ICVP HCERT Payload","Minimal DVC payload for use within an HCERT Payload using the ICVP Product Catalogue","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"ICVPMin.n","ICVPMin.n","","","",1,1,"","","","string {[]} {[]}
","Name","Name","LOINC 87226-7 'Legal name of patient - first and last'. Language per REQ-CC-04 (English or French).","Satisfies REQ-DE-01 (ICVP.A9.DE.1). SHALL carry the full name of the recipient, transcribed from the identity document used for travel, in the same form and order as it appears on that document.","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.A9.DE.1
http://loinc.org#87226-7 (Legal name of patient - first and last)",,,,"DVCMin.n",1,1,"",""
"ICVPMin.dob","ICVPMin.dob","","","",1,1,"","","","date {[]} {[]}
","Date of birth","Date of birth","LOINC 21112-8; SNOMED CT 184099003.","Satisfies REQ-DE-02 (ICVP.A9.DE.2). SHALL be recorded as a fully specified calendar date. Partial dates on identity documents are resolved per national policy.","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.A9.DE.2
http://loinc.org#21112-8 (Birth date)http://snomed.info/sct#184099003 (Date of birth (observable entity))",,,,"DVCMin.dob",1,1,"",""
"ICVPMin.s","ICVPMin.s","","","",1,1,"","","","code {[]} {[]}
","Sex","Sex","Mapping governed by the ICVP.Core ConceptMap.","Satisfies REQ-DE-03 (ICVP.A9.DE.3). SHALL record the sex of the recipient. Bound (extensible) to FHIR AdministrativeGender (male/female/other/unknown). Values not in the core set SHALL be mapped to 'unknown' (ICVP.A9.DE.7) for interoperability.","","","","","","","",,"extensible","","http://hl7.org/fhir/administrative-gender","http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.A9.DE.3
",,,,"DVCMin.s",1,1,"",""
"ICVPMin.nt","ICVPMin.nt","","","",1,1,"","","","code {[]} {[]}
","Nationality","Nationality","LOINC 69433-1; SNOMED CT 223369002.","Satisfies REQ-DE-08 (ICVP.A9.DE.8). SHALL record a single ISO 3166-1 alpha-3 country code for the recipient's nationality. Stateless cases handled per national policy.","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/iso3166-1-3","http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.A9.DE.8
http://loinc.org#69433-1 (Citizenship status)http://snomed.info/sct#223369002 (Country (geographic location))",,,,"DVCMin.nt",1,1,"",""
"ICVPMin.id","ICVPMin.id","","","",0,1,"","","","string {[]} {[]}
","National Identification Document","National Identification Document","LOINC 76435-7. Pairs with dt (document type).","Satisfies REQ-DE-09 (ICVP.A9.DE.9) — document number component. MAY be populated per issuing State Party policy; SHOULD be populated where operationally feasible to support border-control identity binding (Coexistence 'Individual issuance'). Data-protection obligations per IHR Article 45 apply.","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.A9.DE.9
http://loinc.org#76435-7 (Patient identifier)http://snomed.info/sct#900000000000474003 (Universally Unique Identifier (foundation metadata concept))",,,,"DVCMin.id",0,1,"",""
"ICVPMin.dt","ICVPMin.dt","","","",0,1,"","","","code {[]} {[]}
","National ID Document Type","National ID Document Type","Pairs with id (document number).","Satisfies REQ-DE-09 (ICVP.A9.DE.9) — document type component. Bound (extensible) to the HL7 v2 identifier-type value set. Resolves Coexistence footnote 23 ambiguity by modelling document type alongside id (document number).","","","","","","","",,"extensible","","http://terminology.hl7.org/ValueSet/v2-0203|3.0.0","",,,,"DVCMin.dt",0,1,"",""
"ICVPMin.gn","ICVPMin.gn","","","",0,1,"","","","string {[]} {[]}
","Parent or Guardian Name","Parent or Guardian Name","LOINC 79183-0; SNOMED CT 394619001.","Satisfies REQ-DE-10 (ICVP.A9.DE.10). SHALL be present when the recipient is a minor or dependent (per issuing State Party policy); otherwise omitted. Where the parent/guardian holds their own travel identity document, record the name as it appears on that document. Wet-ink parent/guardian signature (Annex 6 non-digital) is not applicable — see REQ-CC-08.","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.A9.DE.10
http://loinc.org#79183-0 (First name of Guardian or legally authorized representative)http://snomed.info/sct#394619001 (Guardian (person))",,,,"DVCMin.gn",0,1,"",""
"ICVPMin.vx","ICVPMin.vx","","","",1,1,"","","","http://smart.who.int/icvp/StructureDefinition/ICVPMinVaccineDetails {[]} {[]}
","Vaccine Details","Vaccine Details","","Satisfies REQ-CC-02 and REQ-CC-03: container for the single vaccine/prophylaxis administration represented by this certificate. Multiple administrations SHALL be issued as separate Digital ICVPs.","","","","","","","",,,,,"",,,,"DVCMin.vx",1,1,"",""
"ICVPMin.v","ICVPMin.v","","","",1,1,"","","","string {[]} {[]}
","Version","Version of the certificate template","Unrecognised versions SHOULD be treated as ambiguous, not rejected; verifier MAY fall back to the latest supported version and flag the discrepancy.","Satisfies REQ-DE-27 (ICVP.D5.DE.27). SHALL carry a version identifier for the certificate template. Used by verifiers to select the human-readable text template (REQ-DE-24), apply version-appropriate validation logic, and determine compatibility.","","","","","","","",,,,,"http://smart.who.int/trust-phw/CodeSystem/ICVP.Core#ICVP.D5.DE.27
",,,,"DVCMin.v",1,1,"",""
