URL,Version,Status,OIDs,Name,Title,Description,Used
http://smart.who.int/icvp/CodeSystem/DVCRelationshipStatus,0.1.0,draft,,DVCRelationshipStatus,Relationship Status for Contact in Patient,"Relationship Status for Contact in Patient",
http://smart.who.int/icvp/CodeSystem/VaccineManufacturer,0.1.0,draft,,VaccineManufacturer,Prequalified Vaccines - Manufacturer names,"List of WHO Prequalified Vaccines - Manufacturer names",
http://smart.who.int/icvp/CodeSystem/doseNumber,0.1.0,draft,,doseNumber,Dose Number,"Dose Number Code System",
http://smart.who.int/icvp/CodeSystem/preQualVaccines,0.1.0,draft,,preQualVaccines,Prequalified Vaccines,"List of WHO Prequalified Vaccines",
