"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"dICVP","dICVP","","","",0,*,"","","","null {[]} {[]}
","dICVP","Data elements for digital International Certificate of Vaccination or Prophylaxis.","","","","","","","","","",,,,,"",,,,"Base",0,*,"","mustHaveIssuerOrClinician:Either issuer or clinicianName must be present {vaccineDetails.issuer.exists() or vaccineDetails.clinicianName.exists()}
"
"dICVP.name","dICVP.name","","","",1,1,"","","","string {[]} {[]}
","Name","The full name of the client","","","","","","","","","",,,,,"",,,,"ModelDVC.name",1,1,"",""
"dICVP.dob","dICVP.dob","","","",1,1,"","","","date {[]} {[]}
","Date of Birth","Date of Birth","","","","","","","","","",,,,,"",,,,"ModelDVC.dob",1,1,"",""
"dICVP.sex","dICVP.sex","","","",0,1,"","","","code {[]} {[]}
","Sex","Sex","","","","","","","","","",,,,,"",,,,"ModelDVC.sex",0,1,"",""
"dICVP.nationality","dICVP.nationality","","","",0,1,"","","","code {[]} {[]}
","Nationality","Nationality","","","","","","","","","",,,,,"",,,,"ModelDVC.nationality",0,1,"",""
"dICVP.nid","dICVP.nid","","","",0,1,"","","","string {[]} {[]}
","National Identification Document","National Identification Document","","","","","","","","","",,,,,"",,,,"ModelDVC.nid",0,1,"",""
"dICVP.guardian","dICVP.guardian","","","",0,1,"","","","string {[]} {[]}
","Parent/Guardian","Name of Parent or Guardian","","","","","","","","","",,,,,"",,,,"ModelDVC.guardian",0,1,"",""
"dICVP.issuer","dICVP.issuer","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Document issuer","Document issuer","","","","","","","","","",,,,,"",,,,"ModelDVC.issuer",0,1,"",""
"dICVP.vaccineDetails","dICVP.vaccineDetails","","","",1,1,"","","","http://smart.who.int/icvp/StructureDefinition/dICVPVaccineDetails {[]} {[]}
","Vaccine Details","Vaccine Details","","","","","","","","","",,,,,"",,,,"ModelDVC.vaccineDetails",1,*,"",""
